,Bank Name,Merchant Name,Link to offer on Bank site (for reference),Category,Detailed offer text (if available),Promo code (if available),Online/ Offline
438,Indian Overseas Bank,Giva ,https://www.iob.in/OfferZone.aspx,Gifts,Offer 1:Flat Rs. 200 OFF on a minimum purchase of Rs. 799 Offer 2:Flat Rs. 500 OFF on a minimum purchase of Rs. 1499,No Promocode,Online 
439,Indian Overseas Bank,Zouk,https://www.iob.in/OfferZone.aspx,Fashion,"Offer 1: Buy any Two Zouk Bags and get Flat Rs 400 off 
Offer 2: Flat Rs 400 off on Zouk Footwears
Offer 3: Flat Rs 300 off on Zouk Office Bags & Laptop Bags",No Promocode,Online 
440,Indian Overseas Bank,Medibuddy,https://www.iob.in/OfferZone.aspx,Healthcare,"Offer1: Flat Rs.1000 off on unlimited doctor consultations from MediBuddy Gold across 22+ specialties for your entire family
Unlimited online audio and video consultation with top specialist Doctors across 22+ specialties
Free for a full family, 24*7
Valid for 12 months from the activation date
MRP: Rs.2499
Offer2: Online expert doctor consultation at just Rs.21 (across 18+ specialties)
Consultation with Doctors across 18+ specialties
Offer details: Get free doctor consultation
MRP: Rs.199 to Rs.599
Offer3: Basic Full Body Health Checkup worth Rs.1299 at just Rs.349 (60+ Tests)
Full Body Health Checkup at Rs.349. (60+Tests)
MRP: Rs.1299",No Promocode,Online 
441,Indian Overseas Bank,Skullcandy,https://www.iob.in/OfferZone.aspx,Electronics,FLAT 70 % off ,No Promocode,Online 
442,Indian Overseas Bank,Indus Health Plus ,https://www.iob.in/OfferZone.aspx,Healthcare, 50% off on health checkups,No Promocode,Online 
443,Indian Overseas Bank,Khadi Naturals ,https://www.iob.in/OfferZone.aspx,Personal Care,Flat  35% off ,No Promocode,Online
444,Indian Overseas Bank,Atulya Herbals ,https://www.iob.in/OfferZone.aspx,Personal Care,Flat  35% off ,No Promocode,Online
445,Indian Overseas Bank,Tangyoak,https://www.iob.in/OfferZone.aspx,Food,Flat 30% off on a minimum purchase of Rs. 1999,No Promocode,Online
446,Indian Overseas Bank,Desi Toys ,https://www.iob.in/OfferZone.aspx,Toys & Games,Flat 15% Off Sitewide,No Promocode,Online
447,Indian Overseas Bank,R For Rabbit ,https://www.iob.in/OfferZone.aspx,Baby Products,Flat 7% OFF ,No Promocode,Online
448,Indian Overseas Bank,Clovia,https://www.iob.in/OfferZone.aspx,Fashion,Rs.150 off on a minimum purchase of Rs.899.,No Promocode,Online
449,Indian Overseas Bank,Kapiva,https://www.iob.in/OfferZone.aspx,Health & Wellness,Get Flat 20% off on No MOV,No Promocode,Online
450,Indian Overseas Bank,Rummy Circle ,https://www.iob.in/OfferZone.aspx,Gaming,Get 200% Welcome Bonus upto 3000*: Deposit Min Rs. 50 in your RC Wallet & Get 200% welcome Bonus upto 3000*,No Promocode,Online
451,Indian Overseas Bank,Care Insurance,https://www.iob.in/OfferZone.aspx,Insurance,"E-consulation @ Rs. 499, Discount connect plans starting @ Rs. 249, Hospi Cash @ Rs. 250",No Promocode,Online
452,Indian Overseas Bank,Netmeds,https://www.iob.in/OfferZone.aspx,Healthcare,"Offer 1: 25% off on Prescription meds + 100% NMS Supercash
Offer 2: 22% Discount on prescription meds + 75% NMS Super Cash",No Promocode,Online
453,Indian Overseas Bank,Fitterfly,https://www.iob.in/OfferZone.aspx,Health & Wellness,Claim 30 min Free Nutritionist Consultation + Flat 1000OFF on Diabefly Pro or Flat 750 OFF on Diabefly SMBG & Reset23,No Promocode,Online
454,Indian Overseas Bank,Sonata ,https://www.iob.in/OfferZone.aspx,Fashion,Get 10% Off on minimum cart value of Rs 995,No Promocode,Online
455,Indian Overseas Bank,Uspa,https://www.iob.in/OfferZone.aspx,Fashion,Get Additional 15% OFF on shopping for 2499/- and above,No Promocode,Online
456,Indian Overseas Bank,Nnnow,https://www.iob.in/OfferZone.aspx,Fashion,Get Additional 15% OFF on shopping for 2499/- and above,No Promocode,Online
457,Indian Overseas Bank,Redcliffe Labs,https://www.iob.in/OfferZone.aspx,Healthcare,FLAT 25% OFF on all health checkup packages across Redcliffe web and App,No Promocode,Online
458,Indian Overseas Bank,Simple Skincare,https://www.iob.in/OfferZone.aspx,Personal Care,25% off over and above website offers,No Promocode,Online
459,Indian Overseas Bank,"Love, Beauty & Planet ",https://www.iob.in/OfferZone.aspx,Personal Care,15% off over and above website offers,No Promocode,Online
460,Indian Overseas Bank,Weber® – American Barbecue Grills And Accessories,https://www.iob.in/OfferZone.aspx,Home & Garden,"Get FLAT 20% OFF on MRP across the whole range of grills, accessories and consumables",No Promocode,Online + Offline
461,Indian Overseas Bank,Musafir- Domestic Flight Bookings ,https://www.iob.in/OfferZone.aspx,Travel,Up to Rs 1500 off on domestic flights at Musafir,No Promocode,Online
462,Indian Overseas Bank,Musafir-International Flight Bookings,https://www.iob.in/OfferZone.aspx,Travel,Up to Rs 5000 off on international flights at Musafir,No Promocode,Online
463,Indian Overseas Bank,Musafir-Dubai Visa,https://www.iob.in/OfferZone.aspx,Travel,Flat 5% off on Dubai Visa at Musafir,No Promocode,Online
464,Indian Overseas Bank,Ease My Trip ,https://www.iob.in/OfferZone.aspx,Travel,Get discount upto Rs. 800 on domestic flights on a minimum booking of Rs. 3500,No Promocode,Online
465,Indian Overseas Bank,Ease My Trip ,https://www.iob.in/OfferZone.aspx,Travel,"Rs.1,000 off on min booking amount of Rs.15,000 for International flight.",No Promocode,Online
466,Indian Overseas Bank,Ease My Trip ,https://www.iob.in/OfferZone.aspx,Travel,"Rs.120 off on min booking amount of Rs.1,200 for Bus booking.",No Promocode,Online 
467,Indian Overseas Bank,Ease My Trip ,https://www.iob.in/OfferZone.aspx,Travel,"Rs.500 off on min booking amount of Rs.3,500 for hotel booking",No Promocode,Online
468,Indian Overseas Bank,Acko Insurance,https://www.iob.in/OfferZone.aspx,Insurance,Car Offer: Ride away with 85%* savings on Car Insurance; Bike Offer: Acko Bike Insurance starts at Rs. 555*,No Promocode,Online
469,Indian Overseas Bank,Saffronstays ,https://www.iob.in/OfferZone.aspx,Hospitality,"Offer 1: Book a minimum of 2 nights at SaffronStays and avail a 10% discount upto Rs 7,500*
Offer 2: Book a minimum of 3 nights at SaffronStays and avail a 15% discount upto Rs 15,000*
Offer 3: Book a minimum of 4 nights at SaffronStays and avail a 15% discount upto Rs 20,000*",No Promocode,Online
470,Indian Overseas Bank,Yatra ,https://www.iob.in/OfferZone.aspx,Travel,"Get Convenience Fee Waiver on Domestic Flights, FLAT 12% OFF on Hotel Bookings & FLAT 5% OFF on Holidays",No Promocode,Online 
471,Indian Overseas Bank,Musafir ,https://www.iob.in/OfferZone.aspx,Travel,"Get FLAT 6% OFF on Domestic & International Flights, and FLAT 5%OFF on Dubai Visa",No Promocode,Online 
472,Indian Overseas Bank,Sleepy Owl Coffee,https://www.iob.in/OfferZone.aspx,Food & Beverage,Additional 20% OFF,No Promocode,Online 
473,Indian Overseas Bank,Metro Shoes,https://www.iob.in/OfferZone.aspx,Fashion,Rs 250 off on a minimum of Rs 1000 at Metro Shoes online store,No Promocode,Online
474,Indian Overseas Bank,Mochi Shoes,https://www.iob.in/OfferZone.aspx,Fashion,Rs 250 off on a minimum transaction of Rs 1000 at Mochi Shoes online store ,No Promocode,Online
475,Indian Overseas Bank,Imagicaa,https://www.iob.in/OfferZone.aspx,Entertainment,"Offer 1: Additional 7% off on Theme Park Express tickets on a minimum purchase of ₹10,000
Offer 2: Additional 7% off on Water Park Express ticket tickets on a minimum purchase of ₹7,500",No Promocode,Online 
476,Indian Overseas Bank,Rideev,https://www.iob.in/OfferZone.aspx,Transportation,Get Rs 2000 OFF on 100+ Electric Scooter Models at RideEV,No Promocode,Online 
477,Indian Overseas Bank,Jaipur Rugs ,https://www.iob.in/OfferZone.aspx,Home & Decor,10% OFF ,No Promocode,Online 
478,Indian Overseas Bank,Celio ,https://www.iob.in/OfferZone.aspx,Fashion,Upto 10% Sitewide discount ,No Promocode,Online
479,Indian Overseas Bank,Snitch (Offer 1) ,https://www.iob.in/OfferZone.aspx,Fashion,Additional 20% OFF on a minimum order value of Rs. 1999,No Promocode,Online 
480,Indian Overseas Bank,Tattva Spa ,https://www.iob.in/OfferZone.aspx,Health & Wellness,FLAT 50% OFF on Foot and Head massage,No Promocode,Online 
481,Indian Overseas Bank,Jar ,https://www.iob.in/OfferZone.aspx,Home & Kitchen,Get 4% Additional gold on a minimum transaction of Rs 50.,No Promocode,Online 
482,Indian Overseas Bank,Find Your Happy Place ,https://www.iob.in/OfferZone.aspx,Lifestyle,Upto 35% Off + Additional 15% Off on the purchase on Find Your Happy Place Products,No Promocode,Online 
483,Indian Overseas Bank,Acnesquad ,https://www.iob.in/OfferZone.aspx,Personal Care,Upto 25% Off + Additional 15% Off on the purchase of Acne Squad Products,No Promocode,Online 
484,Indian Overseas Bank,Livspace,https://www.iob.in/OfferZone.aspx,Home & Decor,Flat 10% off ,No Promocode,Online 
485,Indian Overseas Bank,The Man Company,https://www.iob.in/OfferZone.aspx,Personal Care,Get Rs. 200 Off on a minimum order value of Rs. 799,No Promocode,Online 
486,Indian Overseas Bank,Muscletech ,https://www.iob.in/OfferZone.aspx,Health & Fitness,Additional 8% Sitewide discount on Muscletech,No Promocode,Online 
487,Indian Overseas Bank,Cloudtailor ,https://www.iob.in/OfferZone.aspx,Fashion,FLAT 30% off upto Rs. 600 on Stitching Cost,No Promocode,Online 
488,Indian Overseas Bank,Gaana Plus ,https://www.iob.in/OfferZone.aspx,Entertainment,Free 45 days trial,No Promocode,Online 
489,Indian Overseas Bank,Max Online (Offer 1),https://www.iob.in/OfferZone.aspx,Retail,Flat Rs 500 off on orders worth Rs 1999 & above,No Promocode,Online 
490,Indian Overseas Bank,Homecentre (Offer 1),https://www.iob.in/OfferZone.aspx,Home & Decor,"Additional Rs.5000 Off. Valid on Furniture purchases on App or Online on a Minimum Order Value of Rs. 24,999",No Promocode,Online 
491,Indian Overseas Bank,Lenovo (Offer 1),https://www.iob.in/OfferZone.aspx,Electronics,Upto 50% off + Additional Rs 1000 off on Tabs at Lenovo Online Store,No Promocode,Online 
492,Indian Overseas Bank,Lenovo (Offer 2),https://www.iob.in/OfferZone.aspx,Electronics,Upto 30% off + Additional Rs 2000 off on Laptops and PCs at Lenovo online store,No Promocode,Online 
493,Indian Overseas Bank,Boat ,https://www.iob.in/OfferZone.aspx,Electronics,Flat Rs. 300 OFF on Boat Bestdeals collection,No Promocode,Online
494,Indian Overseas Bank,Jivisa ,https://www.iob.in/OfferZone.aspx,Fashion,Flat 30% OFF ,No Promocode,Online 
495,Indian Overseas Bank,Tupperware,https://www.iob.in/OfferZone.aspx,Kitchenware, FLAT 15% OFF on Minimum Cart Value of INR 2000 & above,No Promocode,Online 
496,Indian Overseas Bank,Wendy'S,https://www.iob.in/OfferZone.aspx,Food,Get FLAT Rs 100 OFF on orders worth Rs 249 & above,No Promocode,Online 
497,Indian Overseas Bank,Max Online (Offer 2),https://www.iob.in/OfferZone.aspx,Retail,Flat Rs 250 off on orders worth Rs 1499 & above,No Promocode,Online 
498,Indian Overseas Bank,Koskii ,https://www.iob.in/OfferZone.aspx,Fashion,Get Flat 20% Off for upto Rs.1000 on any purchase on the Koskii Website,No Promocode,Online 
499,Indian Overseas Bank,Knowledge Hut,https://www.iob.in/OfferZone.aspx,Education,20% OFF on all OSL Courses,No Promocode,Online 
500,Indian Overseas Bank,Woggles ,https://www.iob.in/OfferZone.aspx,Fashion,"Offer 1: Additional 20% OFF
Offer 2: Flat Rs. 300 OFF",No Promocode,Online 
501,Indian Overseas Bank,Happinetz ,https://www.iob.in/OfferZone.aspx,Entertainment,Exclusive Launch offer - Flat 35% off on Happinetz box & amp; 6-month free subscription worth Rs 1000.,No Promocode,Online 
502,Indian Overseas Bank,Salty,https://www.iob.in/OfferZone.aspx,Food,"Offer 1: Rs.300 OFF on Minimum Order Value of Rs. 999
Offer 2: Rs.500 OFF on Minimum Order Value of Rs. 1500",No Promocode,Online 
503,Indian Overseas Bank,Plum (Offer 1),https://www.iob.in/OfferZone.aspx,Beauty,Rs. 240 OFF on MInimum Order Value of Rs. 1199,No Promocode,Online 
504,Indian Overseas Bank,Plum (Offer 2),https://www.iob.in/OfferZone.aspx,Beauty,Rs. 200 OFF on MInimum Order Value of Rs. 999,No Promocode,Online 
505,Indian Overseas Bank,Snitch (Offer 2),https://www.iob.in/OfferZone.aspx,Fashion,Flat 15% OFF on MOV of Rs. 1499,No Promocode,Online 
506,Indian Overseas Bank,Meolaa,https://www.iob.in/OfferZone.aspx,Fashion,Flat 15% OFF on Minimum Order Value of Rs. 999,No Promocode,Online 
507,Indian Overseas Bank,Arrow ,https://www.iob.in/OfferZone.aspx,Fashion,Buy for 2499/- and get extra 10% off,No Promocode,Online
508,Indian Overseas Bank,Flying Machine,https://www.iob.in/OfferZone.aspx,Fashion,Buy 2 and get extra 10% off,No Promocode,Online
509,Indian Overseas Bank,Aeropostale,https://www.iob.in/OfferZone.aspx,Fashion,Buy for 1999/- and get extra 15% off,No Promocode,Online
510,Indian Overseas Bank,Donuts,https://www.iob.in/OfferZone.aspx,Food,Buy for 1999/- and get extra 15% off,No Promocode,Online
511,Indian Overseas Bank,Ruggers,https://www.iob.in/OfferZone.aspx,Fashion,Buy for 1999/- and get extra 15% off,No Promocode,Online
512,Indian Overseas Bank,Colt,https://www.iob.in/OfferZone.aspx,Fashion,Buy for 1999/- and get extra 15% off,No Promocode,Online
513,Indian Overseas Bank,Karigari,https://www.iob.in/OfferZone.aspx,Home & Decor,Buy for 1999/- and get extra 15% off,No Promocode,Online
514,Indian Overseas Bank,Anahi,https://www.iob.in/OfferZone.aspx,Fashion,Buy for 1999/- and get extra 15% off,No Promocode,Online
515,Indian Overseas Bank,Sugr,https://www.iob.in/OfferZone.aspx,Food,Buy for 1999/- and get extra 15% off,No Promocode,Online
516,Indian Overseas Bank,Homcentre (Offer 2),https://www.iob.in/OfferZone.aspx,Home & Decor,"Rs.400 Off. Valid on Homeware purchase on App or Website. Min Bill value Rs.2,999 (Private labels only)",No Promocode,Online 
517,Indian Overseas Bank,Happilo ,https://www.iob.in/OfferZone.aspx,Food,Flat 37.5% OFF for Visa Card Customers,No Promocode,Online 
518,Indian Overseas Bank,Myntra (Offer 1),https://www.iob.in/OfferZone.aspx,Fashion,"Offer 1: Additional 10% OFF up to INR 300 on min. cart value of INR 999 
",No Promocode,Online 
519,Indian Overseas Bank,Myntra (Offer 2),https://www.iob.in/OfferZone.aspx,Fashion,"Offer 2: Additional INR 150 OFF on min. cart value of INR 1,099 
",No Promocode,Online 
520,Indian Overseas Bank,Medibuddy,https://www.iob.in/OfferZone.aspx,Healthcare,Full Body Health Checkup worth Rs.1899 at just Rs.649 (80+ Tests),No Promocode,Online 
521,Indian Overseas Bank,Myntra (Offer 3),https://www.iob.in/OfferZone.aspx,Fashion,"Additional INR 250 OFF on min. cart value of INR 1,499",No Promocode,Online 
522,Indian Overseas Bank,Codingal ,https://www.iob.in/OfferZone.aspx,Education,25% discount on any course on Codingal,No Promocode,Online 
523,Indian Overseas Bank,Myglamm,https://www.iob.in/OfferZone.aspx,Beauty,Rs500 off on a spend of Rs 899,No Promocode,Online
524,Indian Overseas Bank,The Moms Co,https://www.iob.in/OfferZone.aspx,Personal Care,"Flat 50%, min txn-499, max dis amt 500",No Promocode,Online
525,Indian Overseas Bank,Mirraw,https://www.iob.in/OfferZone.aspx,Fashion,get 15% off on minimum purchase of Rs. 1499,No Promocode,Online
526,Indian Overseas Bank,Fable Street,https://www.iob.in/OfferZone.aspx,Fashion,Get 20% of on minimum purchase of Rs. 1999,No Promocode,Online
527,Indian Overseas Bank,Pink Fort,https://www.iob.in/OfferZone.aspx,Fashion,Get 20% of on minimum purchase of Rs. 1999,No Promocode,Online
528,Indian Overseas Bank,March Jewellery,https://www.iob.in/OfferZone.aspx,Jewelry,Get Rs. 300 off on Rs. 999,No Promocode,Online
529,Indian Overseas Bank,Healthifyme ,https://www.iob.in/OfferZone.aspx,Health & Fitness,"Offer 1: Additional 5% off on HealthifyMe Foods and Devices 
Offer 2: Additional 10% off on HealthifyMe Services",No Promocode,Online 
530,Indian Overseas Bank,Nutrabay ,https://www.iob.in/OfferZone.aspx,Health & Wellness,"Offer 1: Rs.150 off on First Purchase on a minimum order value of Rs. 749, applicable on Nutrabay range of products 

Offer 2: Rs. 150 off on First Purchase on a minimum order value of Rs. 1499, applicable Sitewide",No Promocode,Online 
531,Indian Overseas Bank,Howard Johnson ,https://www.iob.in/OfferZone.aspx,Hospitality,FLAT 20% OFF on BAR Rates,No Promocode,Online 
532,Indian Overseas Bank,Bhairavgarh Palace,https://www.iob.in/OfferZone.aspx,Hospitality,FLAT 20% OFF on BAR Rates,No Promocode,Online 
533,Indian Overseas Bank,Zooboo,https://www.iob.in/OfferZone.aspx,Entertainment,Free Personalized Storybooks for kids worth Rs.399,No Promocode,Online 
534,Indian Overseas Bank,Mojo Bar ,https://www.iob.in/OfferZone.aspx,Food,Get Additional 25% OFF on orders above Rs. 499,No Promocode,Online 
535,Indian Overseas Bank,Rentomojo ,https://www.iob.in/OfferZone.aspx,Rental Services,Flat 50% off on 2nd month's rent upto Rs. 1000 on a MOV of Rs. 2000,No Promocode,Online 
536,Indian Overseas Bank,Dot & Key ,https://www.iob.in/OfferZone.aspx,Personal Care,Flat 20% Off Sitewide + 5% Prepaid Discount.,No Promocode,Online 
537,Indian Overseas Bank,Mcdelivery (Offer 1) ,https://www.iob.in/OfferZone.aspx,Food,Get a Free McVeggie / McChicken On purchase of ₹ 299.,No Promocode,Online 
538,Indian Overseas Bank,Mcdelivery (Offer 2) ,https://www.iob.in/OfferZone.aspx,Food,Get a Free Medium Fries On Purchase of ₹249.,No Promocode,Online 
539,Indian Overseas Bank,Mcdelivery (Offer 3) ,https://www.iob.in/OfferZone.aspx,Food,Get Big Spicy Paneer Wrap/Big Spicy Chicken Wrap On Purchase of ₹ 399,No Promocode,Online 
540,Indian Overseas Bank,Mcdelivery (Offer 4) ,https://www.iob.in/OfferZone.aspx,Food,Get McSpicy Paneer/McSpicy Chicken Burger On Purchase of ₹ 399.,No Promocode,Online 
541,Indian Overseas Bank,Bewakoof ,https://www.iob.in/OfferZone.aspx,Fashion,15% off on a minimum transaction of Rs 499 at Bewakoof,No Promocode,Online 
542,Indian Overseas Bank,Zee5,https://www.iob.in/OfferZone.aspx,Entertainment,FLAT 15% OFF on ZEE5 Premium HD and ZEE5 Premium 4K Annual Pack,No Promocode,Online 
543,Indian Overseas Bank,Foxtale ,https://www.iob.in/OfferZone.aspx,Entertainment,Flat 20% off on orders above 899,No Promocode,Online 
544,Indian Overseas Bank,  Kiro Beauty ,https://www.iob.in/OfferZone.aspx,Personal Care,Flat 20% sitewide discount ,No Promocode,Online 
545,Indian Overseas Bank,Juicy Chemistry ,https://www.iob.in/OfferZone.aspx,Personal Care,Additional 5% Off ,No Promocode,Online 
